date,world_oil_price,us_short_rate,us_long_rate,us_inflation,us_gdp,us_gdp_gap,us_unemployment,us_manufacturing_confidence,us_wage_growth,us_consumption,jp_short_rate,jp_long_rate,jp_inflation,jp_unemployment,jp_job_openings,jp_employment,jp_wage_growth,jp_usd_jpy,jp_tankan_all,jp_economy_watcher,jp_consumer_sentiment,jp_export_volume,jp_production_inventory,jp_corporate_goods_price,jp_housing_starts,jp_consumption,jp_investment,jp_gdp,jp_gdp_gap,jp_operating_profit
2004-01-01,70.0,2.5,3.76,2.3,2.06,0.0,5.0,0.0,1.0,13770.0,0.1,0.4482,0.6824,3.5,200.0,0.3,0.127,114.56,5.0,48.0,37.6541,100.684,103.7264,102.752,-0.0862,25.0254,2.0,0.7689,-0.4,100.0
2004-02-01,72.1632,2.4547,3.783,2.177,1.9577,0.1182,4.8401,0.4661,0.8381,13842.3766,0.1,0.4473,0.8177,3.4932,201.3409,0.2539,0.1523,115.2579,3.0938,47.6854,37.6445,101.559,102.7628,102.5689,1.8425,25.0406,2.5659,1.1899,-0.1964,100.8765
2004-03-01,73.074,2.7423,4.1188,2.4874,2.362,-0.067,4.7903,-1.4622,0.9847,13852.5475,0.1,0.4163,0.897,3.3973,203.9452,0.2633,0.4053,116.0569,4.1929,48.3399,38.1228,102.2894,101.5431,102.8726,6.1078,25.0697,2.028,1.7349,-0.1853,101.2601
2004-04-01,73.5796,2.4831,3.8767,2.7237,2.4773,-0.1132,4.8364,-0.6422,0.9981,13734.2332,0.1,0.471,0.8315,3.4751,203.7356,0.2245,0.683,114.7427,4.347,46.9223,38.1498,100.9635,102.6026,103.2386,-1.1961,25.077,1.8321,1.9311,-0.156,101.2649
2004-05-01,72.9969,2.4267,3.8037,2.8093,2.7602,-0.0998,4.7941,-0.0265,1.4148,13856.0334,0.1,0.4451,0.7889,3.5092,204.9624,0.0684,0.7108,113.687,5.1173,46.4054,37.1522,99.9912,104.0834,103.2056,-0.2982,25.1274,1.3765,1.4746,-0.387,101.0989
2004-06-01,75.7677,2.594,4.0542,2.7976,2.0666,-0.0928,4.7238,-1.0585,1.3253,13523.4022,0.1,0.4588,0.691,3.6805,198.1386,0.1833,0.4579,115.9882,5.9409,46.8068,36.829,98.4362,104.5749,103.9838,7.4935,25.1184,3.6898,1.44,-0.5873,101.1398
2004-07-01,76.9485,2.6034,4.0917,2.554,2.0319,0.0263,4.7422,-0.9057,0.9941,13684.8442,0.1,0.3838,0.7151,3.6811,199.1123,0.2022,0.4784,115.6623,6.0612,47.6381,37.1891,99.2975,107.12,104.2828,-0.2816,25.0308,0.69,1.1961,-0.9553,98.7768
2004-08-01,76.4757,2.4975,3.9472,2.5841,1.9672,0.0254,4.5978,0.7221,0.8444,13868.2274,0.1,0.3843,0.8474,3.3425,191.6223,0.198,0.1455,114.9153,3.1024,49.401,38.7064,103.788,105.3255,104.2515,-1.2533,24.9707,-0.8342,1.1224,-0.7748,96.6595
2004-09-01,73.8534,2.8371,4.2127,2.3496,1.8559,0.4765,4.6003,0.3775,0.8603,13721.8769,0.1,0.5385,0.7647,3.211,192.467,0.37,0.5544,118.0356,10.1159,52.9229,40.1014,106.3471,105.4469,104.9599,-0.7321,25.3925,-0.6322,1.7023,0.3034,102.5658
2004-10-01,74.3543,3.3992,4.5199,2.2531,2.1386,0.859,4.563,3.3814,0.8872,13796.9122,0.1,0.6361,0.9773,3.3027,210.0106,0.4555,0.5401,118.7141,10.7028,52.7706,39.5682,103.8273,107.0775,103.9059,-2.6907,25.2433,1.3246,1.2199,0.298,104.6671
2004-11-01,72.5022,3.7749,4.6633,2.3679,2.2771,1.0488,4.3783,4.0947,0.9678,14126.5435,0.1,0.556,0.9245,3.4008,215.713,0.3838,0.3477,119.3697,6.966,50.0379,38.5203,102.7892,104.4383,104.526,2.5293,25.1002,1.5005,0.9726,0.3171,103.5157
2004-12-01,69.887,4.1005,4.8208,2.3468,1.9595,0.7857,4.0947,2.8911,1.4527,14167.8671,0.1,0.5386,0.9242,3.3887,209.3715,0.328,0.3468,119.9909,8.3021,47.5444,38.1627,105.1172,100.7221,104.0295,8.8533,25.0185,2.959,0.8195,0.1902,102.3741
2005-01-01,69.4807,3.5881,4.5732,2.4406,2.505,0.3757,4.0125,1.5937,1.3234,14628.2174,0.1,0.5194,0.8779,3.3112,206.6869,0.2136,0.4338,117.6462,6.2864,47.5188,38.7339,106.0511,100.1063,103.3124,5.161,25.0278,2.8907,1.2968,-0.1489,103.5906
2005-02-01,69.903,3.4283,4.516,2.423,1.9888,0.1311,4.1704,1.4376,1.2994,14711.9588,0.1,0.5248,0.9907,3.3314,202.9184,0.3487,0.2571,121.0237,10.1981,47.826,38.1003,105.6255,101.2182,104.1203,5.1459,25.0387,3.4337,0.8832,-0.0023,103.246
2005-03-01,71.8133,3.066,4.3728,2.3215,1.9682,-0.517,4.409,-2.4634,1.0992,14456.7809,0.1,0.5309,1.093,3.487,205.5575,0.3159,0.158,121.8096,8.1066,46.4562,37.1982,102.4733,102.5255,103.8133,-2.3547,24.8716,2.7454,0.7099,-0.0914,101.2462
2005-04-01,72.2035,2.4675,4.0332,2.4066,1.4057,-1.1654,4.6211,-2.0443,0.8589,14189.0663,0.1,0.5217,1.1845,3.7413,201.7665,0.0889,-0.2458,118.7522,6.7259,46.8829,35.5329,100.4498,102.3455,103.3223,-1.6391,24.9239,3.3806,-0.1361,-0.5999,96.6585
2005-05-01,73.3906,1.9534,3.6782,2.3294,1.2104,-1.6859,5.0061,-5.3473,0.9478,14027.9553,0.1,0.4076,0.7589,3.7123,193.1675,-0.2152,0.3153,115.6465,1.9872,44.4386,35.197,98.5019,103.4627,102.6949,-4.4452,24.7612,1.3526,-0.4324,-1.5263,93.6964
2005-06-01,71.4577,1.3948,3.4383,2.2843,0.6357,-2.1357,5.4499,-8.2546,0.9289,13237.5007,0.1,0.3705,0.6454,3.8507,184.8604,-0.2564,0.0246,114.6673,0.0782,43.616,32.4693,94.9929,103.9437,102.3804,-6.5407,24.621,-1.3664,-1.1388,-1.7302,94.1588
2005-07-01,71.3945,1.1301,3.1799,2.3515,0.3888,-2.6009,5.8568,-8.3857,0.9769,13085.5274,0.1,0.2552,0.5919,4.0406,185.152,-0.32,0.0133,114.8994,-3.3423,41.3479,30.7355,90.5903,107.3965,102.3331,-11.1506,24.7859,0.3772,-0.8824,-1.9934,92.7456
2005-08-01,71.5527,0.6754,2.872,2.3289,0.185,-2.6631,6.1763,-8.758,1.1978,12429.6629,0.1,0.0768,0.5559,4.2135,181.1796,-0.3875,-0.1933,112.8282,-7.5825,40.7098,29.4174,86.7362,112.0345,102.0991,-5.2551,24.4875,-1.8897,-1.097,-2.913,89.2803
2005-09-01,72.8282,0.482,2.679,2.081,0.2474,-2.8812,6.5878,-7.6831,0.8928,11813.2736,0.1,0.0046,0.6396,4.4146,168.1463,-0.4015,-0.2171,112.8257,-11.1692,38.219,28.2414,84.4424,113.06,102.1756,-9.9146,24.2234,-4.252,-2.3096,-3.0545,84.2964
2005-10-01,72.9481,0.172,2.3251,1.6564,-0.1782,-2.4892,6.7442,-6.1646,0.6044,11714.2441,0.1,-0.1047,0.3882,4.7966,153.4959,-0.687,-0.4748,108.0917,-11.9587,33.8029,25.3384,79.1957,115.7672,101.2902,-6.6825,23.897,-6.4468,-3.6636,-3.536,81.9761
2005-11-01,74.1291,0.4998,2.4864,1.7492,-0.3014,-2.2172,6.7663,-5.166,0.7603,11649.5936,0.1,-0.4079,0.136,4.7345,142.1844,-0.884,-0.5235,109.5989,-21.8287,34.5459,24.4325,79.9869,119.2012,100.8923,-8.3948,23.8491,-6.419,-3.9216,-4.4952,75.3223
2005-12-01,73.2644,0.4745,2.4028,1.478,-0.2331,-1.5046,6.4834,-4.7477,0.5753,11946.123,0.1,-0.4023,-0.0861,4.7013,122.7082,-0.7336,-0.2055,110.952,-21.4835,34.3453,25.8926,82.8566,117.6592,101.5739,-9.6169,23.9318,-10.8814,-4.3982,-4.0579,78.1765
2006-01-01,73.7499,1.1375,2.6932,1.5932,0.2769,-1.1507,6.1795,-3.6081,0.6729,12318.5568,0.1,-0.3721,-0.3829,4.6218,123.6276,-0.7968,-0.1654,112.8375,-21.4123,35.8621,27.4664,84.1317,115.2905,101.3258,-13.1977,24.0731,-11.814,-3.0916,-3.6758,77.3934
2006-02-01,74.3176,1.4522,2.9847,1.2675,0.7405,-0.4267,5.7154,-1.594,0.6161,12702.5589,0.1,-0.3452,-0.3915,4.4831,125.9217,-0.8142,-0.3129,113.5783,-20.5434,38.2715,29.8097,87.4386,114.2287,101.5792,-5.7662,24.2852,-9.3495,-2.1617,-3.6166,77.2397
2006-03-01,72.3059,1.8755,3.243,1.1518,0.8923,0.1718,5.3114,0.2715,1.1659,12975.3325,0.1,-0.2582,-0.4869,4.1874,125.1029,-0.4398,-0.0476,116.6548,-18.1659,39.737,32.4255,92.3054,111.5229,101.9224,-3.4683,24.5296,-10.0556,-0.6134,-3.1274,80.8008
2006-04-01,72.5259,1.7578,3.0964,1.642,2.4809,0.8206,4.964,-0.0947,0.7401,13295.7933,0.1,-0.16,-0.5219,4.1675,134.6319,-0.2615,-0.1105,114.2549,-13.9586,41.7573,32.4545,94.2685,111.6546,100.7854,1.1679,24.9322,-7.4751,-0.457,-2.1016,83.7406
2006-05-01,71.9886,2.327,3.4307,1.5875,2.6275,0.7695,4.5444,2.2728,0.8601,13734.6117,0.1,-0.0902,-0.4734,4.0278,152.1777,-0.162,0.0013,115.781,-12.1217,42.5667,33.6545,94.3961,110.5099,101.8078,0.8625,25.0536,-4.1753,-0.0619,-1.3649,84.2449
2006-06-01,69.1281,2.1678,3.3206,1.917,2.8618,0.6822,4.2429,3.9732,1.2402,14102.0208,0.1,-0.0789,-0.4846,3.7721,156.7935,-0.1641,0.3437,115.9406,-9.7428,44.9601,34.5298,98.07,110.1947,102.3028,-0.5147,25.3327,-3.7273,0.0902,-1.3404,87.111
2006-07-01,70.5512,2.3646,3.3816,1.9958,2.7109,0.4357,4.0655,4.5505,1.4337,14104.927,0.1,0.075,-0.2013,3.5663,159.107,0.0297,0.408,114.9191,0.0983,48.0859,36.9056,101.1773,107.0318,101.9613,2.2897,25.6507,-2.7338,0.5357,-0.8465,92.3542
2006-08-01,70.0061,1.6615,2.9057,2.1132,2.9541,0.3219,4.1521,2.3846,1.2799,14389.7517,0.1,0.2539,0.0577,3.6463,175.205,0.0493,-0.0532,115.8288,6.0521,48.1605,37.2012,100.9577,105.1464,102.6305,1.6373,25.4912,-1.6759,0.5449,-0.6437,95.381
2006-09-01,68.764,1.5282,2.8328,2.7059,3.4269,-0.0139,4.3593,1.4662,1.5355,14470.7304,0.1,0.1952,0.2663,3.6201,185.4521,0.0072,-0.2126,114.9903,3.4141,46.7607,36.7213,100.6012,104.4093,102.277,-0.1784,25.5246,2.5437,1.2079,-0.7229,95.9847
2006-10-01,68.2456,1.6634,3.0351,2.7117,2.7613,-0.2426,4.5264,-1.9664,1.3935,14514.4833,0.1,0.2311,0.3663,3.682,180.2623,-0.0228,-0.074,113.1864,1.8713,45.901,36.479,99.1235,104.3817,102.4487,-2.4292,25.254,3.4009,0.4262,-0.8923,97.4165
2006-11-01,68.4787,1.6096,2.9748,2.92,3.0285,-0.4504,4.7865,-0.7571,1.1783,14092.5486,0.1,0.2321,0.516,3.7459,185.7708,-0.0832,-0.1573,114.3548,-0.428,45.9345,36.1907,96.9779,103.9533,103.1409,-1.586,25.1333,3.5832,1.0468,-0.8878,97.1607
2006-12-01,70.7129,1.7566,3.1096,3.0339,2.5148,-0.5095,5.0304,-3.0724,0.8651,13846.4257,0.1,0.2576,0.7168,3.9772,184.9749,0.0167,-0.5555,115.5958,1.9013,45.8726,34.6509,94.6088,106.4587,103.7796,-1.5177,25.0838,3.1799,0.7402,-0.9384,96.196
2007-01-01,70.4527,1.7693,3.267,2.7953,2.1979,-0.5764,5.369,-2.2766,0.9662,13254.0699,0.1,0.2293,0.8304,3.9154,179.8426,-0.1685,-0.8111,116.3884,0.3349,45.8892,35.7683,95.4368,107.1677,103.9279,-7.8833,24.9649,1.1344,0.4715,-1.4498,94.2006
2007-02-01,71.1459,1.6925,3.2335,2.4251,2.2729,-0.4154,5.5436,-0.6387,0.9435,13419.8724,0.1,0.2487,0.761,3.7658,168.3699,0.1311,-0.3625,116.8012,3.3376,46.7839,36.5566,97.7319,109.4808,103.8056,-2.773,24.9802,1.438,0.4299,-1.4169,93.3299
2007-03-01,73.2042,2.436,3.7229,2.0457,1.4136,-0.3063,5.505,0.4666,0.635,13167.741,0.1,0.3405,0.7891,3.6703,174.2949,0.177,-0.1876,120.556,3.8699,49.4678,36.2681,98.6333,110.5164,104.22,1.647,25.1285,-1.7881,0.9752,-0.7383,96.7857
2007-04-01,73.9628,2.6186,3.8295,1.8833,1.2017,-0.5201,5.484,0.1712,0.7005,13306.4497,0.1,0.3878,0.9041,3.5447,180.9422,0.3041,-0.6602,120.9252,4.1059,48.6245,36.3419,99.5352,109.4807,104.1521,-3.0991,24.947,-0.0109,0.4153,-0.6336,98.9851
2007-05-01,75.5581,2.6669,3.8421,1.8736,1.5931,-0.3463,5.5371,-1.1641,0.6988,13532.0297,0.1,0.3765,1.0082,4.0225,188.9934,0.3769,-0.1998,121.8822,4.8826,44.7414,34.5569,95.6459,110.605,104.8812,5.0065,24.5516,1.7352,-0.6311,-0.2875,100.4
2007-06-01,74.6915,2.7483,3.7886,1.9645,1.662,0.0793,5.5604,0.3161,0.6259,13718.2471,0.1,0.1899,0.9103,3.9896,195.0685,-0.1634,-0.5036,121.9982,-2.0519,43.6128,33.0227,95.7,109.6038,104.8687,-3.3209,24.3274,3.3339,-0.732,-1.3748,95.2074
2007-07-01,75.8123,2.8082,3.7376,1.9505,2.0364,0.2508,5.455,0.4122,1.1388,13686.4374,0.1,0.2276,0.7036,3.9261,174.652,-0.3247,-0.3433,122.9302,-0.2779,44.4147,33.8064,97.108,107.0152,104.7616,-3.6984,24.4205,0.8829,-0.3122,-1.0392,96.2234
2007-08-01,75.5994,2.5063,3.559,2.0313,2.135,0.5735,5.1649,2.1143,0.8687,13605.0256,0.1,0.3179,0.7661,3.7736,174.1411,-0.3549,-0.5285,121.0034,-0.6805,46.8242,33.877,97.6405,107.694,104.6997,0.4281,24.5085,-0.8782,-0.3717,-1.0454,97.5569
2007-09-01,77.2056,2.3165,3.4353,2.1862,2.5167,1.0769,5.1409,4.934,0.8942,13851.2443,0.1,0.3355,0.6842,3.7672,176.8562,-0.1574,-0.162,119.5653,2.0302,45.1928,35.2047,97.3408,106.1447,104.1706,0.8331,24.6348,0.6695,-0.0883,-0.6077,98.7482
2007-10-01,75.4475,2.6863,3.6215,2.3216,3.5545,1.4329,4.8854,6.9367,0.7123,13974.6556,0.1,0.3431,0.7972,3.6101,186.8961,0.0159,-0.3266,121.4594,-0.2259,45.9838,35.6822,101.6296,108.9972,104.5427,0.4381,24.5991,1.4948,0.3518,-0.5652,97.8603
2007-11-01,74.1113,3.0877,3.9336,2.3978,3.7733,1.8723,4.5171,9.8416,0.7913,14383.1226,0.1,0.4653,0.5391,3.373,188.7445,0.0909,-0.0915,124.1986,2.3549,48.5932,38.2364,107.1358,104.814,104.4032,-1.0598,24.9845,2.445,1.495,-0.1887,100.6919
2007-12-01,76.0256,3.502,4.3045,2.4547,4.4301,1.9118,4.2049,10.0403,0.8661,14927.7365,0.1,0.6866,0.7445,3.2441,196.3305,0.327,-0.1448,126.2294,4.9232,52.1479,38.5006,109.3558,101.9953,104.4101,2.1853,25.0359,1.459,1.7086,0.2985,104.863
2008-01-01,75.5882,3.5894,4.3667,2.6472,4.2296,2.3568,3.9321,9.7749,0.9847,15283.7116,0.1,0.7681,0.8585,3.1797,206.4877,0.4801,-0.3729,126.584,8.5541,50.2571,38.8406,111.5907,100.8867,104.6877,-3.2787,24.9071,1.0185,0.8451,0.737,107.3552
2008-02-01,74.9054,3.9126,4.6098,2.8099,4.7504,2.8485,3.8423,12.5135,0.8849,15762.3481,0.1,0.8221,0.9136,2.9234,211.9074,0.8212,0.1912,129.2596,12.7632,52.245,40.1975,114.4061,98.4026,105.2536,-1.4402,25.4595,2.2755,2.1395,1.4358,108.8346
2008-03-01,74.926,4.3799,4.8824,2.9027,4.8853,3.4674,3.6658,13.2838,1.0297,15812.522,0.1,0.9107,1.1948,2.9557,215.565,0.8601,0.0756,129.487,19.0011,53.8093,40.2008,116.8617,94.0006,105.6224,-1.9155,25.4477,4.5508,2.322,2.2398,113.2871
2008-04-01,73.7485,5.071,5.266,3.0529,5.3181,3.8986,3.3733,14.8673,1.1888,15845.2791,0.1,0.8981,1.336,2.6742,225.8007,0.7502,-0.0448,129.9051,16.4746,53.7781,43.1522,118.2166,96.1896,105.9473,1.8449,25.6818,5.5109,3.2311,2.158,112.3729
2008-05-01,75.7614,5.5592,5.7547,3.4026,6.1249,4.3901,2.9813,15.6896,1.4747,16362.6729,0.1,1.021,1.4747,2.476,222.4269,0.9651,0.249,133.8647,22.6165,59.3111,44.4093,122.5141,92.2903,107.2589,9.4823,26.3937,7.8405,4.5743,3.1684,117.1411
2008-06-01,73.6832,6.0469,6.0162,3.7699,6.3452,4.2799,2.5746,12.3314,1.5473,16622.1684,0.1,1.1753,1.5875,2.3631,234.887,1.1401,0.5962,135.8524,24.4134,59.7797,46.1718,121.4332,90.2551,108.3767,5.3133,26.4724,6.3556,4.4652,3.6665,118.7247
