date,world_oil_price,us_short_rate,us_long_rate,us_inflation,us_unemployment,us_gdp,us_gdp_gap,us_manufacturing_confidence,us_wage_growth,us_consumption
2000-01-01,27.26,5.45,6.66,2.738892270237381,4.0,4.2,1.6819444833694908,13.4,,
2000-02-01,29.37,5.73,6.52,3.221884498480243,4.1,4.2,1.6819444833694908,11.6,,
2000-03-01,29.84,5.85,6.26,3.7575757575757596,4.0,4.2,1.6819444833694908,9.8,,
2000-04-01,25.72,6.02,5.99,3.0685920577617543,3.8,5.2,2.4819392112257033,9.4,,
2000-05-01,28.79,6.27,6.44,3.1889290012033777,4.0,5.2,2.4819392112257033,6.4,,
2000-06-01,31.82,6.53,6.1,3.73044524669075,4.0,5.2,2.4819392112257033,2.8,,
2000-07-01,29.7,6.54,6.05,3.659268146370742,4.0,4.0,1.5901398775344466,5.0,,
2000-08-01,31.26,6.5,5.83,3.4111310592459754,4.1,4.0,1.5901398775344466,-0.2,,
2000-09-01,33.88,6.52,5.8,3.4544371649791517,3.9,4.0,1.5901398775344466,-0.6,,
2000-10-01,33.11,6.51,5.74,3.4482758620689724,3.9,2.9,1.254716318179483,-2.6,,
2000-11-01,34.42,6.51,5.72,3.446226975638722,3.9,2.9,1.254716318179483,-3.0,,
2000-12-01,28.44,6.4,5.24,3.3868092691621943,3.9,2.9,1.254716318179483,-12.2,,
2001-01-01,29.59,5.98,5.16,3.7322274881516515,4.2,2.2,0.04306356909438147,-17.2,,
2001-02-01,29.61,5.49,5.1,3.5335689045936425,4.2,2.2,0.04306356909438147,-17.8,,
2001-03-01,27.25,5.31,4.89,2.9205607476635587,4.3,2.2,0.04306356909438147,-14.8,,
2001-04-01,27.49,4.8,5.14,3.2691185055458316,4.4,1.0,-0.1508499349606396,-13.8,,
2001-05-01,28.63,4.21,5.39,3.6151603498542295,4.3,1.0,-0.1508499349606396,-16.2,,
2001-06-01,27.6,3.97,5.28,3.248259860788849,4.5,1.0,-0.1508499349606396,-12.2,,
2001-07-01,26.43,3.77,5.24,2.719907407407396,4.6,0.5,-1.2978766777368533,-10.6,,
2001-08-01,27.37,3.65,4.97,2.719907407407396,4.9,0.5,-1.2978766777368533,-3.4,,
2001-09-01,26.2,3.07,4.73,2.648244099021313,5.0,0.5,-1.2978766777368533,-4.6,,
